Item,Quantity,UnitPrice,TotalCost
Walnut,8,7.79,47.84
Tomato,7,6.2,41.86
Bread,1,9.69,5.98
Potato,7,4.3,41.86
Potato,7,4.3,41.86
Bread,1,9.69,5.98
Ginger,10,2.21,59.8
Coffee,8,2.59,47.84
Ginger,10,2.21,59.8
Bread,1,9.69,5.98
Walnut,8,7.79,47.84
Ginger,10,2.21,59.8
Walnut,8,7.79,47.84
Flour,2,5.02,11.96
Walnut,8,7.79,47.84
Walnut,8,7.79,47.84
Onion,7,2.65,41.86
Walnut,8,7.79,47.84
Almond,4,2.42,23.92
Bread,1,9.69,5.98
Coffee,8,2.59,47.84
Onion,7,2.65,41.86
Ginger,10,2.21,59.8
Walnut,8,7.79,47.84
Milk,6,6.88,35.88
Ginger,10,2.21,59.8
Bread,1,9.69,5.98
Ginger,10,2.21,59.8
Coffee,8,2.59,47.84
Coffee,8,2.59,47.84
Walnut,8,7.79,47.84
Flour,2,5.02,11.96
Onion,7,2.65,41.86
Tomato,7,6.2,41.86
Onion,7,2.65,41.86
Onion,7,2.65,41.86
Walnut,8,7.79,47.84
Coffee,8,2.59,47.84
Tomato,7,6.2,41.86
Tomato,7,6.2,41.86
Tomato,7,6.2,41.86
Potato,7,4.3,41.86
Onion,7,2.65,41.86
Ginger,10,2.21,59.8
Milk,6,6.88,35.88
Ginger,10,2.21,59.8
Milk,6,6.88,35.88
Milk,6,6.88,35.88
Onion,7,2.65,41.86
Ginger,10,2.21,59.8
Bread,1,9.69,5.98
Bread,1,9.69,5.98
Flour,2,5.02,11.96
Milk,6,6.88,35.88
Walnut,8,7.79,47.84
Milk,6,6.88,35.88
Ginger,10,2.21,59.8
Tomato,7,6.2,41.86
Potato,7,4.3,41.86
Onion,7,2.65,41.86
Almond,4,2.42,23.92
Almond,4,2.42,23.92
Almond,4,2.42,23.92
Tomato,7,6.2,41.86
Milk,6,6.88,35.88
Ginger,10,2.21,59.8
Milk,6,6.88,35.88
Coffee,8,2.59,47.84
Milk,6,6.88,35.88
Walnut,8,7.79,47.84
Tomato,7,6.2,41.86
Onion,7,2.65,41.86
Flour,2,5.02,11.96
Ginger,10,2.21,59.8
Onion,7,2.65,41.86
Coffee,8,2.59,47.84
Milk,6,6.88,35.88
Milk,6,6.88,35.88
Onion,7,2.65,41.86
Coffee,8,2.59,47.84
Tomato,7,6.2,41.86
Potato,7,4.3,41.86
Ginger,10,2.21,59.8
Coffee,8,2.59,47.84
Almond,4,2.42,23.92
Ginger,10,2.21,59.8
Onion,7,2.65,41.86
Milk,6,6.88,35.88
Onion,7,2.65,41.86
Potato,7,4.3,41.86
Onion,7,2.65,41.86
Potato,7,4.3,41.86
Almond,4,2.42,23.92
Potato,7,4.3,41.86
Flour,2,5.02,11.96
Ginger,10,2.21,59.8
Flour,2,5.02,11.96
Walnut,8,7.79,47.84
Tomato,7,6.2,41.86
Tomato,7,6.2,41.86
